Name,Email,Role,Department,Referred By,Stage,Updated
"Kretschmer, John",kretschmer.john@example.com,Production Technician I,Production,Indeed,Interview,1/21/2019
"Lajiri,  Jyoti",lajiri.jyoti@example.com,Sr. Network Engineer,IT/IS,Employee Referral,Interview,1/7/2019
"Langton, Enrico",langton.enrico@example.com,Production Technician I,Production,LinkedIn,Interview,2/4/2019
"LaRotonda, William",larotonda.william@example.com,Accountant I,Admin Offices,Website,Interview,1/17/2019
"Le, Binh",le.binh@example.com,Senior BI Developer,IT/IS,Indeed,Interview,1/8/2019
"Leruth, Giovanni",leruth.giovanni@example.com,Area Sales Manager,Sales,Website,Interview,1/29/2019
"Liebig, Ketsia",liebig.ketsia@example.com,Production Manager,Production,Website,Interview,1/21/2019
"Linden, Mathew",linden.mathew@example.com,Production Technician II,Production,LinkedIn,Interview,2/18/2019
"Lunquist, Lisa",lunquist.lisa@example.com,Production Technician II,Production,Indeed,Interview,2/12/2019
"Lydon, Allison",lydon.allison@example.com,Production Technician I,Production,Website,Interview,1/23/2019
"Mahoney, Lauren",mahoney.lauren@example.com,Production Technician I,Production,LinkedIn,Interview,2/26/2019
"Manchester, Robyn",manchester.robyn@example.com,Production Technician II,Production,LinkedIn,Interview,1/21/2019
"Mangal, Debbie",mangal.debbie@example.com,Production Technician I,Production,LinkedIn,Interview,1/22/2019
"Maurice, Shana",maurice.shana@example.com,Production Technician I,Production,Indeed,Interview,1/10/2019
"McKinzie, Jac",mckinzie.jac@example.com,Area Sales Manager,Sales,Website,Interview,1/29/2019
"Miller, Brannon",miller.brannon@example.com,Production Manager,Production,Indeed,Interview,1/14/2019
"Monkfish, Erasumus",monkfish.erasumus@example.com,Production Technician II,Production,LinkedIn,Interview,1/8/2019
"Monterro, Luisa",monterro.luisa@example.com,Production Technician II,Production,Indeed,Interview,1/14/2019
"Motlagh,  Dawn",motlagh.dawn@example.com,Production Technician I,Production,LinkedIn,Interview,1/17/2019
"Moumanil, Maliki",moumanil.maliki@example.com,Production Technician II,Production,LinkedIn,Interview,1/28/2019
"Myers, Michael",myers.michael@example.com,Production Technician I,Production,LinkedIn,Interview,1/22/2019
"Navathe, Kurt",navathe.kurt@example.com,Senior BI Developer,IT/IS,Indeed,Interview,2/25/2019
"Newman, Richard",newman.richard@example.com,Production Technician I,Production,LinkedIn,Interview,2/18/2019
"Nguyen, Dheepa",nguyen.dheepa@example.com,Area Sales Manager,Sales,Indeed,Interview,1/25/2019
"Nguyen, Lei-Ming",nguyen.lei-ming@example.com,Production Technician I,Production,LinkedIn,Interview,1/2/2019
"Nowlan, Kristie",nowlan.kristie@example.com,Production Technician II,Production,Indeed,Interview,1/16/2019
"Onque, Jasmine",onque.jasmine@example.com,Area Sales Manager,Sales,Indeed,Interview,1/25/2019
"Osturnka, Adeel",osturnka.adeel@example.com,Production Technician I,Production,LinkedIn,Interview,2/7/2019
"Ozark, Travis",ozark.travis@example.com,Area Sales Manager,Sales,Website,Interview,1/14/2019
"Petingill, Shana",petingill.shana@example.com,Production Technician II,Production,LinkedIn,Interview,1/14/2019
"Petrowsky, Thelma",petrowsky.thelma@example.com,Data Analyst,IT/IS,Employee Referral,Interview,1/4/2019
"Potts, Xana",potts.xana@example.com,Area Sales Manager,Sales,Website,Interview,2/1/2019
"Punjabhi, Louis",punjabhi.louis@example.com,Production Technician I,Production,Employee Referral,Interview,1/7/2019
"Rachael, Maggie",rachael.maggie@example.com,BI Developer,IT/IS,Indeed,Interview,2/6/2019
"Robinson, Elias",robinson.elias@example.com,Production Technician I,Production,Employee Referral,Interview,2/11/2019
"Roby, Lori",roby.lori@example.com,Data Analyst,IT/IS,Employee Referral,Interview,2/14/2019
"Roper, Katie",roper.katie@example.com,Data Architect,IT/IS,Indeed,Interview,2/6/2019
"Rose, Ashley",rose.ashley@example.com,Production Technician I,Production,Website,Interview,1/31/2019
"Roup,Simon",roup.simon@example.com,IT Manager - DB,IT/IS,Indeed,Interview,2/18/2019
"Saada, Adell",saada.adell@example.com,Software Engineer,Software Engineering,Indeed,Interview,2/13/2019
"Sander, Kamrin",sander.kamrin@example.com,Production Technician I,Production,LinkedIn,Interview,2/18/2019
"Shepard, Anita",shepard.anita@example.com,Network Engineer,IT/IS,LinkedIn,Interview,1/7/2019
"Shields, Seffi",shields.seffi@example.com,Production Technician I,Production,LinkedIn,Interview,2/15/2019
"Simard, Kramer",simard.kramer@example.com,Data Analyst,IT/IS,Employee Referral,Interview,1/14/2019
"Singh, Nan",singh.nan@example.com,Administrative Assistant,Admin Offices,Website,Interview,1/15/2019
"Smith, Joe",smith.joe@example.com,Production Technician II,Production,Indeed,Interview,1/28/2019
"Smith, Sade",smith.sade@example.com,Production Technician I,Production,Employee Referral,Interview,1/24/2019
"Soto, Julia",soto.julia@example.com,IT Support,IT/IS,LinkedIn,Interview,2/8/2019
"Soze, Keyser",soze.keyser@example.com,Sr. Network Engineer,IT/IS,LinkedIn,Interview,1/14/2019
"Spirea, Kelley",spirea.kelley@example.com,Production Manager,Production,LinkedIn,Interview,2/14/2019
"Steans, Tyrone",steans.tyrone@example.com,Accountant I,Admin Offices,Indeed,Interview,1/18/2019
"Stoica, Rick",stoica.rick@example.com,Production Technician I,Production,LinkedIn,Interview,1/11/2019
"Strong, Caitrin",strong.caitrin@example.com,Area Sales Manager,Sales,Indeed,Interview,1/31/2019
"Sullivan, Kissy",sullivan.kissy@example.com,Production Manager,Production,Indeed,Interview,1/24/2019
"Sutwell, Barbara",sutwell.barbara@example.com,Production Technician I,Production,Indeed,Interview,1/31/2019
"Szabo, Andrew",szabo.andrew@example.com,Software Engineer,Software Engineering,LinkedIn,Interview,2/18/2019
"Tannen, Biff",tannen.biff@example.com,BI Developer,IT/IS,Indeed,Interview,1/2/2019
"Terry, Sharlene",terry.sharlene@example.com,Area Sales Manager,Sales,Indeed,Interview,1/28/2019
"Tippett, Jeanette",tippett.jeanette@example.com,Production Technician I,Production,Indeed,Interview,1/14/2019
"Torrence, Jack",torrence.jack@example.com,Area Sales Manager,Sales,Indeed,Interview,1/4/2019
"Turpin, Jumil",turpin.jumil@example.com,Network Engineer,IT/IS,Employee Referral,Interview,1/14/2019
"Valentin,Jackie",valentin.jackie@example.com,Area Sales Manager,Sales,Indeed,Interview,1/17/2019
"Vega, Vincent",vega.vincent@example.com,Production Manager,Production,Employee Referral,Interview,2/27/2019
"Villanueva, Noah",villanueva.noah@example.com,Area Sales Manager,Sales,Website,Interview,1/18/2019
"Von Massenbach, Anna",vonmassenbach.anna@example.com,Production Technician I,Production,LinkedIn,Interview,1/29/2019
"Walker, Roger",walker.roger@example.com,Production Technician II,Production,Employee Referral,Interview,2/12/2019
"Wang, Charlie",wang.charlie@example.com,Senior BI Developer,IT/IS,Indeed,Interview,1/4/2019
"Warfield, Sarah",warfield.sarah@example.com,Sr. Network Engineer,IT/IS,Employee Referral,Interview,2/5/2019
"Wolk, Hang  T",wolk.hangt@example.com,Production Technician II,Production,LinkedIn,Interview,2/21/2019
"Woodson, Jason",woodson.jason@example.com,Production Technician II,Production,LinkedIn,Interview,2/28/2019
"Zamora, Jennifer",zamora.jennifer@example.com,CIO,IT/IS,Employee Referral,Interview,2/21/2019
"Zhou, Julia",zhou.julia@example.com,Data Analyst,IT/IS,Employee Referral,Interview,2/1/2019
"Zima, Colleen",zima.colleen@example.com,Production Technician I,Production,LinkedIn,Interview,1/30/2019
